SEASON,EPISODE,SPEAKER,TEXT
9,4,SWEET DEE,"This is not about berries, all right? You sell it. This is a whole moneymaking system, okay? That's what Invigaron is."
9,4,SWEET DEE,"It's-it's about money, and it's about, you know, ""wealth creation through-through the use of antioxidants, powerful antioxidants."""
9,4,CHARLIE,"Yeah, uh-huh."
9,4,SWEET DEE,"And, you know, we're going to ""redefine success and-and change the world."""
9,4,CHARLIE,"You know what? All those words are, like, stressing me out, Dee. And I can't get more str..."
9,4,CHARLIE,I'm at 157!
9,4,SWEET DEE,I'm gonna be honest. I'm a little confused as well.
9,4,SWEET DEE,"Uh, I don't have a firm grasp on exactly how this..."
9,4,CHARLIE,It's confusing stuff.
9,4,SWEET DEE,Where the hell is Frank?
9,4,SWEET DEE,He can help us.
9,4,SWEET DEE,"He's, like, a business genius."
9,4,CHARLIE,"I don't know where he is. He didn't come home this morning. He took off last night. He said he had some dream or something. And, like, he woke up, he's like, ""Ah, Charlie, I got to get to the playground."" And he shot out of here."
9,4,SWEET DEE,Why is he at the playground?
9,4,CHARLIE,I don't know.
9,4,CHARLIE,He told me not to come.
9,4,SWEET DEE,"Well, we got to go figure it out. "
9,4,CHARLIE,He can help explain all this.
9,4,SWEET DEE,"Yeah, he's good with stuff like this. We're not."
9,4,CHARLIE,"All right, all right, let's do it. I'm drinking this one though."
9,4,SWEET DEE,"Yeah, but don't open any more."
9,4,,---
9,4,CHARLIE,Frank?
9,4,SWEET DEE,Huh?
9,4,CHARLIE,What is this? You're stuck? Was this your plan?
9,4,FRANK,No.
9,4,CHARLIE,What is this? How did this happen?
9,4,FRANK,"How does anything happen, Charlie? Move past it, will ya?"
9,4,SWEET DEE,I'm afraid that's going to be impossible.
9,4,CHARLIE,Yeah. Where are your clothes? Why are you naked and stuck in a coil? 
9,4,FRANK,Just get me out of here.
9,4,CHARLIE,"All right, well, first we should do the thing because.."
9,4,SWEET DEE,Yeah. Charlie and I have a couple of business questions we wanted to ask you first.
9,4,FRANK,"What? Deandra, don't dick around. Get me out of here!"
9,4,SWEET DEE,"Look, I'll be quick, okay? Now, Charlie and I have recently come into a rare business opportunity, and we were hoping you could clear a couple things up for us. Can you look at that?"
9,4,FRANK,It's a pyramid scheme.
9,4,SWEET DEE,It's not a pyramid scheme. It's a reverse funnel system.
9,4,FRANK,Turn it upside down.
9,4,CHARLIE,"Oh, shit!"
9,4,SWEET DEE,Goddamn it! Shit!
9,4,FRANK,"All right, you've been duped, suckers."
9,4,SWEET DEE,"You're the sucker, okay? You're naked and you're stuck in a coil!"
9,4,CHARLIE,"All right, calm down, calm down."
9,4,CHARLIE,"Look, Frank is there any way, you know, to get out of one of these schemes?"
9,4,FRANK,"All right, what you got to do is round up a couple of suckers and get 'em hooked. Dummies with deep pockets are the best."
9,4,SWEET DEE, What about Ben the Soldier?
9,4,FRANK,"Well, he's as dumb as you can get."
9,4,CHARLIE,"Yeah. He's dumb as bricks, that guy. He's so stupid."
9,4,FRANK,"All right, let's do it. That's good."
9,4,CHARLIE,"We'll get him, and I'll get, like, a pulley or a rope, and we'll just yank you out of there or something, all right?"
9,4,FRANK,Get me out of here.
9,4,SWEET DEE,"Yeah. Hold on, hold on."
9,4,SWEET DEE,"Charlie, whoa, think about this. If we get him out of there, how do we know he's gonna keep helping us?"
9,4,CHARLIE,"Well, what do you mean?"
9,4,SWEET DEE,"If we get him out of there, he might scam us further. We don't know. He's a business mastermind. I don't know what he's got going on."
9,4,CHARLIE,"Shit, that's a good point."
9,4,SWEET DEE,"I mean, what's he doing in that coil, you know what I mean? He wouldn't say. He could be up to something. I say we leave him stuck in there just for a few more days so we can leverage him for business advice..."
9,4,CHARLIE,Right. We keep him contained.
9,4,SWEET DEE,That's right.
9,4,CHARLIE,"If we need questions, we just go to him."
9,4,CHARLIE,"All right, all right."
9,4,SWEET DEE,"Hey, uh, Frank, we'll be back in a couple days to help you out, okay, buddy?"
9,4,FRANK,"No, no, no, no! Deandra, I don't have a couple of days! It's Saturday coming up. There's gonna be kids here!"
9,4,,---
9,4,OTHER,"Hey, guys."
9,4,OTHER,You here for the presentation?
9,4,OTHER,I'm Harris Marder.
9,4,MAC,"Save it, bozo. We're here for the free golf clubs."
9,4,DENNIS,"You got exactly 20 minutes to do your little song and dance. We're just gonna tune out, so why don't you give us a wave when you're finished."
9,4,MAC,Or don't.
9,4,OTHER,What's the point?
9,4,OTHER,"I'd just be wasting my time. I mean, obviously, you two are smart."
9,4,DENNIS,"19 minutes and 50 seconds, clown."
9,4,OTHER,"Don't get me wrong. Invigaron is great, but you got to put in the hours. You fellows strike me more as men of leisure."
9,4,DENNIS,Obviously.
9,4,MAC,"Well, we are."
9,4,OTHER,"Yeah, I mean, this guy's got the Hawaiian shirt, you with the killer tan. Bet it's killing you guys to be stuck indoors on a beautiful day like today."
9,4,MAC,"It is. So less yapping, more golf clubs please."
9,4,OTHER,"Yeah, I get it. And you know what? Because you guys are such great sports, I'm gonna throw in a coupon for a free round of golf at the Dusty Dunes Resort in Orlando. You guys been to Florida?"
9,4,DENNIS,Been there? Not physically.
9,4,OTHER,"If you want, I can set you up with one of their private villas."
9,4,DENNIS,Private villa.
9,4,DENNIS,Whatever. That's pretty nice.
9,4,DENNIS,Look at that.
9,4,MAC,"Oh, it is nice."
9,4,OTHER,"Did you know that the average rate for a hotel room 30 years ago was $19? Today it's $237. That's a 1,300% increase. So it's not inconceivable to think that in another 30 years, a week at a hotel runs you 20 grand."
9,4,MAC,That's not inconceivable.
9,4,DENNIS,"That's... crazy. That's very, very conceivable. Really?"
9,4,OTHER,"Okay, but not for you guys. You'll be locked in at $1,400 annually."
9,4,DENNIS,Wait. We would be?
9,4,OTHER,"Yeah. I'm not talking about taking a vacation, guys. I'm talking about owning a vacation. And, look, if you're still not comfortable with the numbers, you just double down. You get two weeks, sell that second week, boom, you're vacationing for free."
9,4,DENNIS,"Wait, wait, wait, wait, wait, wait."
9,4,DENNIS,"Mac, I think this guy just bent himself over a barrel a little bit."
9,4,MAC,He did?
9,4,DENNIS,"Yeah, for our pleasure. Follow me here. Okay, so if we buy a second week, and we sell that, we're vacationing for free. What happens if we buy a third week and sell that? "
9,4,MAC,We're getting paid to vacation!
9,4,OTHER,"You guys, I... I've actually never thought of it like that."
9,4,DENNIS,I know!
9,4,OTHER,I'm not sure I can make that deal.
9,4,MAC,The deal's locked in.
9,4,DENNIS,Deal's done.
9,4,MAC,"I'm gonna write in ""three..."""
9,4,MAC,"Write in ""three weeks."""
9,4,MAC,Three here... that's done!
9,4,,"Yeah, right?"
9,4,DENNIS,Put three on...
9,4,MAC,You got got!
9,4,MAC,"You thought we were a bunch of suckers, but guess what?"
9,4,OTHER,"Oh, God."
9,4,MAC,We're not.
9,4,MAC,We just bought three weeks of a time-share.
9,4,OTHER,So you did.
9,4,,---
9,4,CHARLIE,Not a great turnout.
9,4,SWEET DEE,"No, not-not a great turnout. You know why?"
9,4,SWEET DEE,"Nobody gives a shit about free soup, Charlie."
9,4,SWEET DEE,People want golf clubs and concert tickets.
9,4,CHARLIE,"Don't knock the soup, all right? Da'Maniac's here."
9,4,CHARLIE,"He's sucked down, like, three bowls of it."
9,4,SWEET DEE,"Yeah, he is here. And why is he here, Charlie?"
9,4,CHARLIE,Well...
9,4,SWEET DEE,Nobody wants to buy something from a deranged wrestler. Why would you invite him?
9,4,CHARLIE,I didn't invite him. He just drifted in.
9,4,CHARLIE,I guess he was...
9,4,CHARLIE,Just looking for soup.
9,4,SWEET DEE,"...looking for free soup, yeah, free soup."
9,4,SWEET DEE,All right.
9,4,CHARLIE,"You know, drifters..."
9,4,CHARLIE,"All right, let's just get it going, all right?"
9,4,SWEET DEE,"Yeah. Hello, everyone. Thank you so much for coming today. Each one of you has been hand-selected to potentially join our Invigaron team. ""What is Invigaron?"" you may be asking."
9,4,SWEET DEE,Charlie?
9,4,SWEET DEE,"Hello, everyone. I'm Dee, and this is Charlie."
9,4,CHARLIE,"And as you can tell by our huge mansion, we're insanely loaded. "
9,4,SWEET DEE,"But it wasn't always this way. We used to be losers, like all of you people. And then we discovered the Invig..."
9,4,OTHER,Invigaron!
9,4,CHARLIE,And it all starts with the berries. The berries are the most delici...
9,4,SWEET DEE,I'm sure you're all excited to learn more about the Invigaron system.
9,4,CHARLIE,"What the hell happened to my part, Dee?"
9,4,SWEET DEE,"Yeah, I had to do some reshoots. You are way too hung up on the berries."
9,4,SWEET DEE,The success of the Invigaron system is largely due to the simplicity of its origins. Using a multi-tiered distribu...
9,4,SWEET DEE,...multi-level market...
9,4,SWEET DEE,...the Invigaron system...
9,4,SWEET DEE,...multi-level...
9,4,OTHER,Invig...
9,4,CHARLIE,"I'm Andy, proud owner of my own mountain, where..."
9,4,CHARLIE,Did a couple reshoots of my own.
9,4,CHARLIE,"Proud owner of my own mountain, where I'm a magical bean farmer."
9,4,CHARLIE,Berries!♪
9,4,SWEET DEE,"Does the sophisticated business model of Invigaron confuse you? You don't need to understand how Invigaron works, because somebody above you does. So ask less questions, and make more money."
9,4,SWEET DEE,There we go.
9,4,CHARLIE,"Well, I wasn't quite finished, there's..."
9,4,CHARLIE,Still not convinced?
9,4,CHARLIE,"Well, guess what?"
9,4,CHARLIE,"The Invigaron system is also a pyramid scheme. ""What's a pyramid scheme?"" you ask. "
9,4,FRANK,"All right, basically a house of cards where the dickheads at the bottom do all the work, and give all the money to the smart guys up at the top."
9,4,FRANK,"All right? Now, will you get..."
9,4,CHARLIE,Don't just be successful. Be berry...
9,4,SWEET DEE,You won't need a pot of gold.
9,4,MAC,But still amazingly badass...
9,4,DENNIS,So do...
9,4,CHARLIE,"All right, any questions?"
9,4,OTHER,I have a question.
9,4,OTHER,"Uh, how do I get in on this?"
9,4,CHARLIE,"Uh, you probably don't, because you need money."
9,4,SWEET DEE,"Ben, how many boxes am I gonna put you down for?"
9,4,OTHER,I don't really understand what I'm buying.
9,4,SWEET DEE,You saw the video. 
9,4,CHARLIE,Was the video not clear?
9,4,SWEET DEE,"The video was pretty clear, Charlie."
9,4,CHARLIE,You think maybe it's your stress?
9,4,CHARLIE,Do you want to check your photon levels?
9,4,SWEET DEE,Oh. Yes.
9,4,OTHER,Yeah.
9,4,CHARLIE,"Yeah, you could be stressed."
9,4,CHARLIE,It... okay.
9,4,CHARLIE,Here you go.
9,4,OTHER,"Uh, where should I put my feet?"
9,4,CHARLIE,"Dee, where do his feet go?"
9,4,SWEET DEE,The feet go wherever. What is it with the feet?
9,4,OTHER,Thank you for this business opportunity. I will not let you down.
9,4,SWEET DEE,"No, no, no, no, no."
9,4,SWEET DEE,"Sir, you need to pay for the product, you can't just take it out of here."
9,4,OTHER,Roger!
9,4,OTHER,Roger that.
9,4,SWEET DEE,He's just... he's just leaving the bar.
9,4,CHARLIE,He just stole the berries. That's not g...
9,4,CHARLIE,Oh!
9,4,CHARLIE,"Oh, 107."
9,4,CHARLIE,"Hey, man, that's pretty good."
9,4,SWEET DEE,What? Don't...
9,4,CHARLIE,Healthy guy over here.
9,4,SWEET DEE,"Charlie, no, that's terrible."
9,4,SWEET DEE,He's very stressed out and he needs to buy the product and eat the berries.
9,4,OTHER,"I-I'm sorry. Um, I don't think this is for me."
9,4,SWEET DEE,"Oh, goddamn it!"
9,4,CHARLIE,"If 107's bad, I got to eat more berries."
9,4,SWEET DEE,Stop eating berries! You've had enough berries!
9,4,,---
9,4,MAC,I just don't understand.
9,4,MAC,Is it a sexual thing?
9,4,FRANK,"No, just get me the hell out!"
9,4,FRANK,It doesn't matter!
9,4,DENNIS,Matters to me; I don't think I can move past it.
9,4,MAC,We came here for a reason.
9,4,MAC,"Let's just jump into it, all right?"
9,4,MAC,"Frank, we have a very exciting real estate opportunity for you in sunny Orlando, Florida. Yes."
9,4,DENNIS,How would you like to spend one week out of the year living the high life at your own private villa at the Dusty Dunes Resort?
9,4,FRANK,You guys bought a time-share?
9,4,DENNIS,"Well, yeah."
9,4,FRANK,Yeah. How can you all be so gullible?
9,4,DENNIS,"No, no, no, no."
9,4,MAC,"No, this is different, Frank. This is different."
9,4,DENNIS,Tell him.
9,4,MAC,This asshole tried to sell us one week. We took the prick for three.
9,4,FRANK,You did?
9,4,FRANK,You took him for three weeks?
9,4,MAC,Dennis thought of it.
9,4,FRANK,You think he didn't want to sell you as many weeks as possible?
9,4,DENNIS,"No, I don't think he..."
9,4,MAC,"I told you that might have been a concern, I..."
9,4,DENNIS,"No, I know, but I..."
9,4,MAC,"The whole way over, you said that's..."
9,4,DENNIS,"All right, fine."
9,4,DENNIS,"Well, look, I didn't come here to be criticized by a man stuck in a coil! Are you gonna buy a week or not?"
9,4,FRANK,"No, I'm not that stupid."
9,4,MAC,We don't need this.
9,4,MAC,"We're out of here, Frank."
9,4,DENNIS,Screw you.
9,4,FRANK,"Wait, wait, wait, wait, wait, wait, wait, wait, wait, wait. I-I-I can help you."
9,4,DENNIS,Yeah?
9,4,FRANK,I can help you. Yeah.
9,4,DENNIS,Help us how?
9,4,FRANK,I'll give you a premium lead on a deep-pocket dummy.
9,4,MAC,Premium lead?
9,4,DENNIS,That's business talk. We need premium leads.
9,4,MAC,Yeah. Who? 
9,4,FRANK,You promise to get me out of here?
9,4,MAC,"Yeah, yeah, Frank, we promise."
9,4,DENNIS,"What do you think, we're gonna leave you in a coil? Give us a name."
9,4,FRANK,Ben the Soldier.
9,4,FRANK,All right?
9,4,DENNIS,"Ben the Soldier, huh?"
9,4,FRANK,"Well, yeah..."
9,4,DENNIS,That's pretty good.
9,4,MAC,It is?
9,4,DENNIS,"He's very, very dumb."
9,4,DENNIS,"I mean, think about it."
9,4,DENNIS,"He went over there, probably saw some pretty serious carnage."
9,4,DENNIS,"He's gonna have some bad PTSD. If we trigger that, he'll be putty in our hands."
9,4,FRANK,"Right, whatever."
9,4,FRANK,"Okay, get me out of here."
9,4,DENNIS,Nah. Nah. Nah.
9,4,FRANK,"Wait, whoa, whoa. Where you going?"
9,4,MAC,"You just got got, Frank."
9,4,DENNIS,"Uh, you played your hand a little too early, sucker."
9,4,MAC,We'll come back when we need you again.
9,4,MAC,That's called leverage.
9,4,DENNIS,Right.
9,4,MAC,That's business talk.
9,4,DENNIS,"Yeah, thought you were good at that stuff."
9,4,FRANK,The kids are coming! What...
9,4,DENNIS,I know.
9,4,FRANK,The kids! The kids will be here!
9,4,,---
9,4,DENNIS,Now listen.
9,4,DENNIS,"We just need to trigger his PTSD a little bit, all right? Get him all jumbled up. "
9,4,MAC,Couple of sudden movements. Loud noises.
9,4,DENNIS,Exactly.
9,4,OTHER,Hey!
9,4,DENNIS,Ben!
9,4,DENNIS,"It's so good to see you, man. How are you? Come on in."
9,4,DENNIS,"Have a seat on the couch, why don't you?"
9,4,DENNIS,"Oh, my God!"
9,4,OTHER,Hi.
9,4,DENNIS,Da'Maniac.
9,4,OTHER,"Yeah, I know."
9,4,DENNIS,What are you doing here?
9,4,OTHER,"Well, I've come for the presentation."
9,4,OTHER,"Gonna be really cool, huh?"
9,4,MAC,"Oh, it's... it's sort of... geared specifically towards Ben, so..."
9,4,OTHER,"I like him, too."
9,4,OTHER,"He a good guy, huh?"
9,4,OTHER,Nice to see you.
9,4,OTHER,That's good.
9,4,DENNIS,He's coming in.
9,4,OTHER,"Hey, Ben."
9,4,OTHER,How you doing?
9,4,MAC,"All right, let's just, uh..."
9,4,DENNIS,"Okay, uh..."
9,4,DENNIS,"All right, listen, so, Ben..."
9,4,DENNIS,"Um, we would like to offer you a week's stay in our time-share condominium in Florida."
9,4,MAC,It's an amazing property.
9,4,MAC,"I mean, when we first saw it, we were like, ""Boom!"""
9,4,OTHER,"Sometimes, loud noises make the squirrels go in my head, and I-I don't fight in the ring anymore, but I still fight with the demons in Da'Maniac's head."
9,4,DENNIS,"All right, well, we'll-we'll try to be a little bit more sensitive to that."
9,4,MAC,I... Yeah.
9,4,DENNIS,"Um, and we'll keep our voices down from here on out."
9,4,DENNIS,"Yeah. Uh, Ben, should we talk numbers?"
9,4,OTHER,"Oh, I don't know. Um, and it sounds really nice, but I'm not trying to make any business decisions. I have a 107 stress level."
9,4,OTHER,Ooh.
9,4,OTHER,I'm sorry.
9,4,OTHER,I shouldn't be here. I-I have to go.
9,4,DENNIS,"Well, wait, Ben, stop. Ben..."
9,4,MAC,"Don't go, Ben."
9,4,DENNIS,"No, the sunshine state."
9,4,OTHER,"Oh, uh, I'm in."
9,4,DENNIS,"Oh, no. Well, no. See, Maniac, it's very expensive. It's, like, $1,400."
9,4,OTHER,"Sold to the Maniac for $1,400."
9,4,DENNIS,Really?
9,4,OTHER,You know why? 'Cause I can pay you in Invigaron.
9,4,MAC,I don't think you're quite understanding.
9,4,MAC,"Uh, this involves you giving us cash, not a product that we would then sell."
9,4,OTHER,Sure.
9,4,MAC,"See, we need cash money."
9,4,DENNIS,"Oh, you're..."
9,4,OTHER,We're on the same page.
9,4,DENNIS,I don't even understand what he's talking about.
9,4,DENNIS,Yeah. Hold on one second.
9,4,OTHER,"No, take your time."
9,4,DENNIS,"Listen, I think we might have been wrong about Dee and Charlie's little investment."
9,4,DENNIS,"I mean, they're out there moving berries like crazy."
9,4,DENNIS,"If those bozos can do it, think how many you and I can sell."
9,4,MAC,"We could flip 'em, like, ten times over."
9,4,DENNIS,That's what I'm saying.
9,4,DENNIS,So I say we swindle Da'Maniac while we got him here.
9,4,DENNIS,Let's get in on Dee and Charlie's little game.
9,4,MAC,Smart.
9,4,MAC,Pyramid scheme and a time-share?
9,4,MAC,We're diversifying our portfolio.
9,4,DENNIS,That's the thing.
9,4,DENNIS,"Okay, all right. Hey, Maniac?"
9,4,DENNIS,"Hey, you just got yourself a deal."
9,4,OTHER,We're in business together?
9,4,OTHER,That's so cool.
9,4,OTHER,"I'm gonna go grab my stuff, and then, if you wouldn't mind, could you show me which room is mine? I'd like a big room, if you don't mind. We're gonna have so much fun."
9,4,OTHER,Invigaron.
9,4,DENNIS,Uh... is-is he under the impression that our apartment is the time-share?
9,4,MAC,It would appear so.
9,4,DENNIS,"Okay, you know what? We'll deal with that later."
9,4,DENNIS,Let focus on getting Ben to crack.
9,4,,---
9,4,SWEET DEE,"All right, now, between Da'Maniac stealing our berries and these night vision goggles, we're in a bit of a hole, so we got to make this count."
9,4,CHARLIE,Okay. What's the plan exactly?
9,4,SWEET DEE,"We're gonna trigger Ben's PTSD, all right?"
9,4,SWEET DEE,"We bust in like Navy SEALs, zip-tie his hands, bag over his head, and then we bash him till he buys."
9,4,CHARLIE,PTSD-- that's so brilliant.
9,4,CHARLIE,How's Frank come up with that stuff?
9,4,SWEET DEE,What can you say?
9,4,SWEET DEE,He knows business.
9,4,CHARLIE,"Okay, ready?"
9,4,CHARLIE,Locked and loaded?
9,4,SWEET DEE,"Let's go, Charlie."
9,4,CHARLIE,Let's move.
9,4,GANG,"Oh, oh, oh!"
9,4,DENNIS,Hey! What the hell are you guys doing here?
9,4,SWEET DEE,We were gonna try and trigger Ben's PTSD and make him buy our shit.
9,4,MAC,Good luck.
9,4,MAC,We've been at it all night.
9,4,MAC,"We broke in here, looking like Arabs, screaming at him. The guy's rock solid. "
9,4,CHARLIE,Why did you dress him like Ebenezer Scrooge? Yeah.
9,4,MAC,He was actually dressed like at when we got here.
9,4,DENNIS,He's clearly got some issues. I just don't know that PTSD is one of them.
9,4,MAC,"Yeah, we've been watching violent war movies all night to remind him of the carnage that he saw in combat."
9,4,OTHER,"I didn't see any carnage. Um, I actually had a good time during the war. I got to travel the world, uh, try new, exotic cuisines. Well, I'm a computer programmer."
9,4,SWEET DEE,What?!
9,4,SWEET DEE,Goddamn it!
9,4,SWEET DEE,Frank told us this dummy was the key to digging ourselves out of our financial debt.
9,4,MAC,Frank told us the same thing.
9,4,CHARLIE,"Well, that's interesting."
9,4,CHARLIE,"So, we're all here doing this because of Frank."
9,4,CHARLIE,"See, I told you he was up to something."
9,4,SWEET DEE,"Hold on a second. Getting all naked and cramming yourself into a coil-- that's a pretty good distraction, right?"
9,4,CHARLIE,Right?
9,4,MAC,"Yeah, and think about it."
9,4,MAC,He didn't tell us why he was in that coil.
9,4,DENNIS,"No, no, no. I just assumed that he went down there to pound off in the nighttime."
9,4,CHARLIE,"Yeah, right, right."
9,4,,"Yeah, me, too. Me, too."
9,4,DENNIS,But now I'm absolutely sure he had an agenda. 
9,4,SWEET DEE,I bet he was never stuck in that coil at all. He's been at the top of the pyramid the whole time just gathering our cash.
9,4,CHARLIE,"Oh, right, right, or at the bottom of the funnel. I'm not sure which way it works."
9,4,SWEET DEE,"Bottom of the funnel, top of the-- they're the same thing."
9,4,CHARLIE,"Yeah, well, I bet you when we go down there, he's not even in there, is he?"
9,4,DENNIS,"No. Hell, no, he's not in that coil, but I know exactly where he will be."
9,4,,---
9,4,OTHER,"All right, everyone, we have a new addition to the platinum sales staff, and let me just tell you something. This guy is an absolute dynamo."
9,4,MAC,Scam! This guy's a liar!
9,4,DENNIS,You guys are getting scammed!
9,4,MAC,You're getting scammed!
9,4,CHARLIE,Pyramid! Pyramid!
9,4,MAC,Rape! Rape! Rape! Rape! Rape!
9,4,OTHER,"Hey, hey, hey!"
9,4,OTHER,What's going on here?
9,4,MAC,"Well, I'll tell you what's going on."
9,4,MAC,We are saving these people from years of financial rape.
9,4,OTHER,"Oh, hey, if you want out of Invigaron, all you have to do is say so."
9,4,OTHER,Wait.
9,4,SWEET DEE,I do?
9,4,OTHER,"Look, you just, uh, sign this release form, pay a $200 penalty fee, your down line will shift up to me, and then you're free and clear."
9,4,OTHER,That's it? All you got to do is sign the document?
9,4,DENNIS,Can we do that?
9,4,MAC,"Yeah, does that mean we're out of the time-share?"
9,4,OTHER,"Oh, no, no, I'm afraid I can't help you there."
9,4,OTHER,Those contracts are ironclad. I'm just relieved you didn't see the old opt-out clause.
9,4,MAC,Wait a second.
9,4,MAC,He just subtly motioned to this document here-- opt-out.
9,4,OTHER,"Oh, no. Oh, crap, I've said too much."
9,4,DENNIS,"Buyer may opt out of the contract within 72 hours for one-time cancellation fee of only $2,000."
9,4,OTHER,You figured it out.
9,4,DENNIS,"Oh, you fool. I have..."
9,4,MAC,"You didn't think we were gonna see this, but we outsmarted you. Yeah."
9,4,MAC,We're a couple of foxes.
9,4,MAC,"All right, you got got!"
9,4,DENNIS,So suck on that little piece of sweetness.
9,4,OTHER,"You also wrote ""faced"" in the memo. Ha! Nice!"
9,4,OTHER,Should have known better than to get involved with a couple sharks like you two.
9,4,DENNIS,You should have. We're just glad we're out from under Frank.
9,4,OTHER,Who's Frank?
9,4,CHARLIE,"Oh, ""Who's Frank?"" he says."
9,4,CHARLIE,Like he doesn't know.
9,4,CHARLIE,"Come on, everybody."
9,4,CHARLIE,Frank's the guy who's behind all this; Frank is the mastermind in the coil.
9,4,OTHER,I sincerely have no idea what you're talking about.
9,4,DENNIS,"Oh, sure you don't, buddy."
9,4,MAC,He might not 'cause Frank...
9,4,SWEET DEE,"Uh-oh. Oh, shit."
9,4,SWEET DEE,"Oh, you thought we came in mad."
9,4,SWEET DEE,Wait till you see what this monster has to say.
9,4,OTHER,This guy?
9,4,OTHER,What are you talking about? This guy's the best salesman I got.
9,4,CHARLIE,Da'Maniac?
9,4,OTHER,Yeah. He's already got 30 people under him.
9,4,OTHER,I got to thank you all so much for hooking me up with that army guy. I got his whole platoonselling for me.
9,4,SWEET DEE,Wait a sec. Da'Maniac's on my down line.
9,4,,Yup.
9,4,SWEET DEE,I'm rich. I'm rich.
9,4,DENNIS,You got got! You got got!
9,4,OTHER,"Oh, whoa, one second."
9,4,OTHER,"One second, guys. Actually, he's in my down line."
9,4,OTHER,"You just bought out, remember?"
9,4,SWEET DEE,Shoot!
9,4,DENNIS,"No, you... Oh!"
9,4,CHARLIE,This guy's good.
9,4,OTHER,"Oh, yeah. You know, sorry."
9,4,OTHER,"I want to get this stuff done here, and then I'll meet you back at our time-share, huh?"
9,4,CHARLIE,"Now, what's going on there?"
9,4,CHARLIE,"Is he, like, living with you guys, or...?"
9,4,DENNIS,He's... It's-it's a whole thing. Just move past it.
9,4,SWEET DEE,That's a hard thing to move past.
9,4,DENNIS,"Yeah, doesn't know what time-share is."
9,4,CHARLIE,"All right, but hold on a second, hold on a second."
9,4,CHARLIE,Is Frank still the mastermind?
9,4,CHARLIE,I don't get it.
9,4,SWEET DEE,Is he still in the coil?
